customer_id,churn_status,subscription_tier,tenure_months,industry,company_size,region,primary_pain_point,satisfaction_at_exit,repurchase_intent,win_back_receptive,support_tickets_filed,recommended_to_others,monthly_recurring_revenue,open_ended_feedback,sentiment_score,sentiment_category
C0011,Churned,Enterprise,28,Finance,1-10 employees,South,Customer Support,1,1,No,5,No,937,The help documentation is outdated and support often contradicts what the docs say.,0.4588,Positive
C0012,At-Risk,Pro,13,Finance,51-200 employees,Midwest,Onboarding & Usability,3,2,Yes,4,Yes,296,We are currently evaluating alternatives and will decide at the next renewal in 60 days.,0.0,Neutral
C0013,Retained,Basic,44,Finance,11-50 employees,South,Competitor Switch,3,4,,0,No,98,Despite some issues the platform generally meets our needs and the team has adapted well.,0.2732,Positive
C0014,At-Risk,Pro,4,Finance,201+ employees,West,Competitor Switch,4,3,No,0,No,247,Unless pricing improves at renewal we will likely not continue past this contract period.,0.4215,Positive
C0015,At-Risk,Basic,10,Healthcare,11-50 employees,West,Onboarding & Usability,3,3,Yes,0,Yes,83,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0016,Churned,Pro,35,Technology,201+ employees,Midwest,Onboarding & Usability,2,2,Yes,4,No,267,Onboarding resources are scattered and there is no structured path for new users.,-0.296,Negative
C0017,At-Risk,Pro,3,Retail,1-10 employees,West,Pricing & Value,3,2,Yes,2,No,183,Unless pricing improves at renewal we will likely not continue past this contract period.,0.4215,Positive
C0018,Retained,Basic,46,Healthcare,1-10 employees,Midwest,Competitor Switch,4,4,,2,Yes,81,Our account manager has been excellent and that relationship keeps us with RetainIQ.,0.5719,Positive
C0019,Churned,Basic,14,Finance,51-200 employees,Midwest,Product Quality,2,3,Yes,4,No,90,The platform crashes frequently and bugs have never been resolved despite multiple reports.,-0.1326,Negative
C0020,Retained,Enterprise,30,Technology,11-50 employees,Northeast,Pricing & Value,3,3,,3,No,819,Our account manager has been excellent and that relationship keeps us with RetainIQ.,0.5719,Positive
C0021,Churned,Pro,6,Retail,11-50 employees,West,Pricing & Value,1,2,Yes,5,No,218,Add-on fees for features we assumed were included made the total cost far higher than expected.,0.0,Neutral
C0022,Retained,Pro,11,Retail,11-50 employees,West,Product Quality,4,4,,3,Yes,161,We evaluated alternatives but the switching cost and migration risk outweighed the benefits.,0.1901,Positive
C0023,Churned,Basic,5,Finance,51-200 employees,Midwest,Customer Support,2,1,No,5,No,80,The help documentation is outdated and support often contradicts what the docs say.,0.4588,Positive
C0024,At-Risk,Pro,5,Finance,51-200 employees,South,Product Quality,3,4,Yes,3,Yes,195,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0025,At-Risk,Pro,3,Retail,201+ employees,South,Customer Support,3,2,No,7,Yes,286,We are currently evaluating alternatives and will decide at the next renewal in 60 days.,0.0,Neutral
C0026,Churned,Pro,31,Education,201+ employees,Northeast,Customer Support,2,1,No,8,Yes,215,We feel ignored. Critical issues sit open for weeks with no meaningful updates.,-0.6769,Negative
C0027,Churned,Basic,29,Finance,11-50 employees,West,Product Quality,1,2,Yes,3,Yes,99,The platform crashes frequently and bugs have never been resolved despite multiple reports.,-0.1326,Negative
C0028,Churned,Enterprise,4,Finance,11-50 employees,Northeast,Pricing & Value,2,2,Yes,2,No,1162,The ROI is simply not there. We cannot justify this cost to our leadership team.,0.0,Neutral
C0029,At-Risk,Basic,19,Education,51-200 employees,Midwest,Pricing & Value,3,3,Yes,2,No,97,Our team satisfaction with the platform has dropped significantly over the past quarter.,0.4404,Positive
C0030,At-Risk,Pro,17,Finance,1-10 employees,West,Product Quality,2,3,Yes,4,No,201,Pricing transparency needs to improve or we will explore other options at renewal.,0.4404,Positive
C0031,Retained,Basic,40,Finance,51-200 employees,Midwest,Onboarding & Usability,4,3,,3,Yes,57,We are monitoring the situation but currently plan to renew pending the upcoming feature release.,0.0,Neutral
C0032,Churned,Enterprise,2,Healthcare,51-200 employees,South,Product Quality,2,3,No,2,No,630,The product does not integrate with our existing tools which makes it very difficult to use.,-0.4201,Negative
C0033,At-Risk,Basic,21,Finance,51-200 employees,Northeast,Product Quality,3,2,Yes,1,No,68,The product has potential but we need to see significant support improvements to stay.,0.8271,Positive
C0034,At-Risk,Basic,3,Retail,201+ employees,Northeast,Product Quality,4,2,No,4,No,95,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0035,Retained,Pro,46,Technology,11-50 employees,West,Customer Support,4,5,,9,No,292,Recent product updates have addressed several of our key concerns from last quarter.,0.0,Neutral
C0036,Churned,Pro,2,Technology,201+ employees,Midwest,Customer Support,2,1,No,14,No,289,There is no dedicated account manager for Pro tier which is frustrating given our spend.,-0.6575,Negative
C0037,Retained,Basic,35,Education,11-50 employees,South,Onboarding & Usability,3,3,,0,Yes,49,Despite some issues the platform generally meets our needs and the team has adapted well.,0.2732,Positive
C0038,Retained,Pro,38,Education,11-50 employees,South,Pricing & Value,4,4,,3,No,243,Despite some issues the platform generally meets our needs and the team has adapted well.,0.2732,Positive
C0039,Retained,Basic,19,Retail,11-50 employees,Northeast,Customer Support,4,4,,7,Yes,49,The onboarding was rough but once we were set up the product has been reliable.,0.0,Neutral
C0040,At-Risk,Pro,20,Healthcare,51-200 employees,South,Onboarding & Usability,3,3,No,0,No,260,Unless pricing improves at renewal we will likely not continue past this contract period.,0.4215,Positive
C0041,Retained,Pro,39,Retail,51-200 employees,Midwest,Customer Support,4,4,,14,Yes,200,We are monitoring the situation but currently plan to renew pending the upcoming feature release.,0.0,Neutral
C0042,Retained,Enterprise,9,Retail,11-50 employees,Northeast,Pricing & Value,5,5,,3,Yes,1044,Recent product updates have addressed several of our key concerns from last quarter.,0.0,Neutral
C0043,Churned,Pro,33,Technology,51-200 employees,Midwest,Product Quality,2,1,No,4,No,209,Too many features are broken or incomplete. The product feels like it is still in beta.,-0.1531,Negative
C0044,Churned,Pro,5,Technology,201+ employees,West,Onboarding & Usability,1,1,No,3,Yes,269,We were handed off from sales to a junior CSM who did not understand our configuration needs.,0.0,Neutral
C0045,Churned,Enterprise,1,Technology,1-10 employees,Northeast,Product Quality,1,1,No,7,No,863,The platform crashes frequently and bugs have never been resolved despite multiple reports.,-0.1326,Negative
C0046,Retained,Pro,23,Healthcare,1-10 employees,Midwest,Pricing & Value,4,4,,0,Yes,176,We evaluated alternatives but the switching cost and migration risk outweighed the benefits.,0.1901,Positive
C0047,Retained,Pro,9,Finance,11-50 employees,Northeast,Customer Support,4,4,,7,Yes,182,The onboarding was rough but once we were set up the product has been reliable.,0.0,Neutral
C0048,Churned,Pro,2,Technology,11-50 employees,Northeast,Customer Support,3,1,Yes,9,No,152,Every time we contact support we are passed between agents with no continuity.,0.128,Positive
C0049,Churned,Pro,15,Finance,51-200 employees,South,Onboarding & Usability,2,3,Yes,7,No,242,Training materials are outdated and do not reflect the current version of the product.,0.0,Neutral
C0050,At-Risk,Enterprise,7,Retail,11-50 employees,South,Product Quality,2,3,Yes,0,Yes,499,Unless pricing improves at renewal we will likely not continue past this contract period.,0.4215,Positive
C0051,At-Risk,Pro,3,Technology,51-200 employees,South,Customer Support,3,3,Yes,5,No,278,Unless pricing improves at renewal we will likely not continue past this contract period.,0.4215,Positive
C0052,At-Risk,Basic,19,Education,51-200 employees,Northeast,Onboarding & Usability,3,3,No,2,No,57,Our team satisfaction with the platform has dropped significantly over the past quarter.,0.4404,Positive
C0053,Retained,Pro,35,Healthcare,51-200 employees,Midwest,Onboarding & Usability,3,4,,1,Yes,237,Recent product updates have addressed several of our key concerns from last quarter.,0.0,Neutral
C0054,Churned,Basic,28,Retail,11-50 employees,Northeast,Customer Support,2,3,No,6,No,54,There is no dedicated account manager for Pro tier which is frustrating given our spend.,-0.6575,Negative
C0055,At-Risk,Pro,9,Healthcare,51-200 employees,Northeast,Pricing & Value,4,4,Yes,2,No,234,The product has potential but we need to see significant support improvements to stay.,0.8271,Positive
C0056,Churned,Pro,4,Finance,11-50 employees,West,Pricing & Value,2,1,No,4,No,263,Add-on fees for features we assumed were included made the total cost far higher than expected.,0.0,Neutral
C0057,Churned,Basic,25,Finance,1-10 employees,South,Competitor Switch,1,1,Yes,5,No,91,We evaluated three alternatives and another platform won on both price and support quality.,0.7506,Positive
C0058,Churned,Basic,25,Finance,11-50 employees,South,Competitor Switch,2,1,No,7,No,84,A competitor offered a significantly better onboarding experience and comparable features.,0.4404,Positive
C0059,Churned,Basic,32,Retail,1-10 employees,West,Product Quality,1,3,No,3,No,75,We keep encountering the same technical issues with no permanent fix from the team.,-0.296,Negative
C0060,At-Risk,Basic,23,Healthcare,11-50 employees,West,Onboarding & Usability,3,3,Yes,3,No,98,We are on the fence. A proactive outreach from our account team would help retain us.,0.765,Positive
C0061,Churned,Basic,5,Retail,11-50 employees,South,Onboarding & Usability,1,1,No,6,No,78,We were handed off from sales to a junior CSM who did not understand our configuration needs.,0.0,Neutral
C0062,At-Risk,Pro,8,Education,11-50 employees,West,Pricing & Value,2,3,Yes,2,No,158,Unless pricing improves at renewal we will likely not continue past this contract period.,0.4215,Positive
C0063,Retained,Enterprise,13,Retail,201+ employees,South,Product Quality,4,4,,2,No,737,Recent product updates have addressed several of our key concerns from last quarter.,0.0,Neutral
C0064,Retained,Enterprise,37,Retail,51-200 employees,West,Onboarding & Usability,5,4,,4,Yes,505,Support has improved recently and we are seeing more value from the Enterprise features.,0.8173,Positive
C0065,Retained,Pro,23,Finance,11-50 employees,West,Onboarding & Usability,5,4,,1,Yes,267,Recent product updates have addressed several of our key concerns from last quarter.,0.0,Neutral
C0066,Retained,Basic,27,Retail,51-200 employees,South,Onboarding & Usability,3,4,,2,Yes,94,Despite some issues the platform generally meets our needs and the team has adapted well.,0.2732,Positive
C0067,Churned,Pro,6,Technology,11-50 employees,South,Competitor Switch,2,2,No,6,No,248,A competitor's new release addressed all the feature gaps we had flagged with RetainIQ.,0.0,Neutral
C0068,Churned,Basic,17,Technology,1-10 employees,South,Product Quality,2,1,No,2,Yes,74,The product does not integrate with our existing tools which makes it very difficult to use.,-0.4201,Negative
C0069,At-Risk,Basic,23,Education,1-10 employees,South,Onboarding & Usability,3,4,Yes,2,Yes,82,We are currently evaluating alternatives and will decide at the next renewal in 60 days.,0.0,Neutral
C0070,At-Risk,Basic,22,Finance,11-50 employees,South,Product Quality,3,3,Yes,1,No,50,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0071,Churned,Enterprise,23,Finance,11-50 employees,Northeast,Product Quality,2,1,Yes,4,No,828,Too many features are broken or incomplete. The product feels like it is still in beta.,-0.1531,Negative
C0072,At-Risk,Pro,19,Education,201+ employees,Northeast,Pricing & Value,3,4,Yes,0,No,291,The product has potential but we need to see significant support improvements to stay.,0.8271,Positive
C0073,Retained,Basic,26,Healthcare,51-200 employees,South,Pricing & Value,4,3,,0,Yes,99,We are monitoring the situation but currently plan to renew pending the upcoming feature release.,0.0,Neutral
C0074,Churned,Pro,25,Healthcare,11-50 employees,West,Product Quality,1,1,No,3,No,256,Too many features are broken or incomplete. The product feels like it is still in beta.,-0.1531,Negative
C0075,At-Risk,Enterprise,12,Education,51-200 employees,West,Onboarding & Usability,3,3,No,2,No,772,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0076,At-Risk,Basic,23,Finance,1-10 employees,Midwest,Customer Support,3,2,Yes,12,Yes,87,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0077,Retained,Pro,42,Technology,201+ employees,West,Product Quality,3,5,,0,Yes,197,We are monitoring the situation but currently plan to renew pending the upcoming feature release.,0.0,Neutral
C0078,At-Risk,Enterprise,16,Technology,51-200 employees,Northeast,Pricing & Value,4,4,Yes,3,Yes,1073,Our team satisfaction with the platform has dropped significantly over the past quarter.,0.4404,Positive
C0079,Churned,Basic,14,Retail,11-50 employees,West,Onboarding & Usability,2,1,No,5,No,97,Setup took far longer than expected and we never received adequate implementation support.,0.2579,Positive
C0080,Churned,Pro,5,Technology,201+ employees,Northeast,Onboarding & Usability,3,1,No,4,No,177,The learning curve is too steep for our non-technical staff to adopt comfortably.,0.5423,Positive
C0081,Retained,Pro,39,Education,1-10 employees,West,Customer Support,4,4,,8,No,238,Our account manager has been excellent and that relationship keeps us with RetainIQ.,0.5719,Positive
C0082,Churned,Enterprise,30,Retail,201+ employees,West,Customer Support,2,2,Yes,9,No,834,The support team does not understand our use case and the advice is often unhelpful.,0.4019,Positive
C0083,Retained,Pro,47,Finance,1-10 employees,Midwest,Product Quality,4,4,,4,No,193,Support has improved recently and we are seeing more value from the Enterprise features.,0.8173,Positive
C0084,Churned,Enterprise,6,Technology,51-200 employees,Northeast,Product Quality,1,2,No,2,No,1198,The mobile app is essentially unusable compared to the desktop version.,0.0,Neutral
C0085,Churned,Pro,26,Retail,11-50 employees,South,Product Quality,3,2,Yes,4,Yes,160,We experienced significant data sync issues that impacted our daily operations.,0.2023,Positive
C0086,Retained,Enterprise,34,Healthcare,11-50 employees,West,Pricing & Value,4,4,,3,Yes,531,We are monitoring the situation but currently plan to renew pending the upcoming feature release.,0.0,Neutral
C0087,Churned,Basic,5,Finance,51-200 employees,Midwest,Customer Support,1,2,No,7,No,80,The support team does not understand our use case and the advice is often unhelpful.,0.4019,Positive
C0088,Churned,Pro,5,Technology,1-10 employees,South,Pricing & Value,1,1,No,2,No,163,The annual contract pricing is not competitive. Monthly flexibility would help retain smaller teams.,0.0377,Neutral
C0089,Retained,Pro,13,Retail,1-10 employees,Northeast,Product Quality,4,3,,2,No,198,Recent product updates have addressed several of our key concerns from last quarter.,0.0,Neutral
C0090,At-Risk,Pro,16,Finance,11-50 employees,Midwest,Pricing & Value,3,2,Yes,0,Yes,265,We are on the fence. A proactive outreach from our account team would help retain us.,0.765,Positive
C0091,Churned,Basic,26,Technology,201+ employees,Northeast,Customer Support,2,3,No,11,No,59,Support response times are unacceptably slow. We wait days for simple issue resolution.,0.4019,Positive
C0092,At-Risk,Pro,12,Healthcare,11-50 employees,West,Pricing & Value,4,2,Yes,0,Yes,225,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0093,At-Risk,Enterprise,12,Retail,11-50 employees,West,Product Quality,2,3,Yes,0,No,857,Pricing transparency needs to improve or we will explore other options at renewal.,0.4404,Positive
C0094,At-Risk,Pro,17,Technology,1-10 employees,Midwest,Onboarding & Usability,2,4,Yes,1,No,275,We are currently evaluating alternatives and will decide at the next renewal in 60 days.,0.0,Neutral
C0095,At-Risk,Pro,15,Technology,51-200 employees,Midwest,Pricing & Value,2,3,Yes,4,No,199,We are on the fence. A proactive outreach from our account team would help retain us.,0.765,Positive
C0096,At-Risk,Basic,21,Healthcare,51-200 employees,South,Pricing & Value,2,2,Yes,3,No,97,We are on the fence. A proactive outreach from our account team would help retain us.,0.765,Positive
C0097,At-Risk,Pro,20,Finance,51-200 employees,West,Onboarding & Usability,3,3,Yes,3,Yes,227,Pricing transparency needs to improve or we will explore other options at renewal.,0.4404,Positive
C0098,Churned,Basic,19,Retail,11-50 employees,Northeast,Product Quality,2,1,No,3,No,92,The product does not integrate with our existing tools which makes it very difficult to use.,-0.4201,Negative
C0099,Churned,Basic,35,Finance,1-10 employees,West,Pricing & Value,1,2,Yes,5,No,50,We found a competitor offering the same core functionality at half the price.,0.0,Neutral
C0100,Churned,Basic,6,Technology,1-10 employees,Northeast,Customer Support,2,1,Yes,14,No,60,The support team does not understand our use case and the advice is often unhelpful.,0.4019,Positive
C0101,At-Risk,Pro,19,Technology,11-50 employees,West,Pricing & Value,3,4,Yes,2,Yes,262,The product has potential but we need to see significant support improvements to stay.,0.8271,Positive
C0102,Churned,Pro,5,Retail,201+ employees,Midwest,Pricing & Value,2,1,No,4,No,274,The annual contract pricing is not competitive. Monthly flexibility would help retain smaller teams.,0.0377,Neutral
C0103,At-Risk,Pro,22,Finance,1-10 employees,Northeast,Product Quality,2,2,No,3,No,233,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0104,Churned,Pro,22,Technology,51-200 employees,Midwest,Customer Support,2,3,No,14,No,237,Live chat support is unavailable during our business hours which are not US Eastern time.,0.4019,Positive
C0105,Churned,Pro,2,Healthcare,11-50 employees,South,Onboarding & Usability,3,2,Yes,2,No,216,Training materials are outdated and do not reflect the current version of the product.,0.0,Neutral
C0106,At-Risk,Pro,21,Retail,11-50 employees,Midwest,Onboarding & Usability,3,2,Yes,4,No,213,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0107,At-Risk,Pro,5,Retail,201+ employees,West,Product Quality,2,3,Yes,1,No,157,We are currently evaluating alternatives and will decide at the next renewal in 60 days.,0.0,Neutral
C0108,Retained,Basic,10,Finance,51-200 employees,South,Customer Support,4,4,,14,No,96,Support has improved recently and we are seeing more value from the Enterprise features.,0.8173,Positive
C0109,Churned,Enterprise,5,Healthcare,11-50 employees,West,Competitor Switch,1,3,No,3,No,871,The competing platform integrates natively with our CRM which made the decision straightforward.,0.0,Neutral
C0110,Churned,Pro,2,Finance,1-10 employees,South,Customer Support,1,1,No,13,No,289,Issues are closed without being resolved and we have to reopen the same tickets repeatedly.,-0.1326,Negative
C0111,Retained,Pro,12,Retail,11-50 employees,West,Onboarding & Usability,4,4,,2,Yes,267,Support has improved recently and we are seeing more value from the Enterprise features.,0.8173,Positive
C0112,Churned,Basic,19,Finance,1-10 employees,Midwest,Pricing & Value,1,1,No,5,No,87,Our budget was cut and the pricing tier options do not offer a meaningful downgrade path.,-0.47,Negative
C0113,Churned,Enterprise,1,Retail,11-50 employees,West,Product Quality,1,1,Yes,4,Yes,575,We experienced significant data sync issues that impacted our daily operations.,0.2023,Positive
C0114,At-Risk,Basic,9,Education,51-200 employees,Midwest,Pricing & Value,2,3,No,3,No,74,The product has potential but we need to see significant support improvements to stay.,0.8271,Positive
C0115,At-Risk,Basic,3,Retail,201+ employees,South,Product Quality,3,2,Yes,1,No,53,Pricing transparency needs to improve or we will explore other options at renewal.,0.4404,Positive
C0116,Churned,Basic,13,Technology,51-200 employees,Northeast,Pricing & Value,2,2,Yes,7,No,92,The annual contract pricing is not competitive. Monthly flexibility would help retain smaller teams.,0.0377,Neutral
C0117,Churned,Pro,4,Finance,51-200 employees,Northeast,Competitor Switch,2,1,Yes,4,No,266,A competitor approached us with a migration offer that made the switch financially compelling.,0.2263,Positive
C0118,Churned,Basic,32,Technology,201+ employees,South,Onboarding & Usability,2,1,No,3,No,93,The learning curve is too steep for our non-technical staff to adopt comfortably.,0.5423,Positive
C0119,Churned,Pro,4,Retail,51-200 employees,South,Competitor Switch,2,3,No,3,No,197,After two years we decided to consolidate our tools and RetainIQ did not make the final cut.,-0.2732,Negative
C0120,At-Risk,Basic,9,Finance,1-10 employees,West,Customer Support,2,3,Yes,5,No,83,Unless pricing improves at renewal we will likely not continue past this contract period.,0.4215,Positive
C0121,At-Risk,Pro,16,Technology,1-10 employees,West,Product Quality,3,3,Yes,4,Yes,284,We are on the fence. A proactive outreach from our account team would help retain us.,0.765,Positive
C0122,At-Risk,Enterprise,22,Finance,11-50 employees,Northeast,Customer Support,2,3,Yes,5,No,1015,We are currently evaluating alternatives and will decide at the next renewal in 60 days.,0.0,Neutral
C0123,Churned,Pro,1,Technology,1-10 employees,Northeast,Product Quality,1,1,Yes,5,No,152,Core features promised during the sales process are still not available after months of waiting.,0.3612,Positive
C0124,At-Risk,Enterprise,20,Finance,51-200 employees,Northeast,Product Quality,4,3,Yes,2,No,953,The product has potential but we need to see significant support improvements to stay.,0.8271,Positive
C0125,At-Risk,Basic,17,Technology,11-50 employees,Midwest,Pricing & Value,3,2,Yes,4,No,69,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0126,At-Risk,Basic,23,Education,1-10 employees,Northeast,Customer Support,2,3,Yes,11,No,83,The product has potential but we need to see significant support improvements to stay.,0.8271,Positive
C0127,Retained,Enterprise,34,Technology,201+ employees,Midwest,Customer Support,5,4,,11,No,698,Recent product updates have addressed several of our key concerns from last quarter.,0.0,Neutral
C0128,Churned,Enterprise,5,Healthcare,11-50 employees,West,Product Quality,2,1,Yes,2,No,775,We experienced significant data sync issues that impacted our daily operations.,0.2023,Positive
C0129,Retained,Pro,10,Education,11-50 employees,South,Pricing & Value,5,3,,1,Yes,259,Our account manager has been excellent and that relationship keeps us with RetainIQ.,0.5719,Positive
C0130,Churned,Basic,15,Healthcare,201+ employees,South,Onboarding & Usability,2,2,Yes,3,No,58,Setup took far longer than expected and we never received adequate implementation support.,0.2579,Positive
C0131,At-Risk,Enterprise,4,Healthcare,1-10 employees,Midwest,Product Quality,2,4,Yes,0,No,622,Pricing transparency needs to improve or we will explore other options at renewal.,0.4404,Positive
C0132,At-Risk,Pro,19,Finance,11-50 employees,West,Pricing & Value,2,4,No,0,No,166,Pricing transparency needs to improve or we will explore other options at renewal.,0.4404,Positive
C0133,Retained,Pro,16,Finance,51-200 employees,Northeast,Customer Support,5,4,,5,Yes,177,Our account manager has been excellent and that relationship keeps us with RetainIQ.,0.5719,Positive
C0134,Retained,Pro,42,Retail,51-200 employees,Northeast,Pricing & Value,4,4,,2,Yes,178,The onboarding was rough but once we were set up the product has been reliable.,0.0,Neutral
C0135,Churned,Basic,14,Retail,1-10 employees,Midwest,Product Quality,1,2,Yes,3,No,69,The product does not integrate with our existing tools which makes it very difficult to use.,-0.4201,Negative
C0136,At-Risk,Basic,14,Education,11-50 employees,Midwest,Pricing & Value,2,4,Yes,2,No,64,Unless pricing improves at renewal we will likely not continue past this contract period.,0.4215,Positive
C0137,Retained,Pro,42,Finance,1-10 employees,South,Pricing & Value,3,4,,1,Yes,152,Recent product updates have addressed several of our key concerns from last quarter.,0.0,Neutral
C0138,At-Risk,Basic,18,Technology,1-10 employees,Midwest,Product Quality,3,2,Yes,1,No,67,We are currently evaluating alternatives and will decide at the next renewal in 60 days.,0.0,Neutral
C0139,At-Risk,Pro,21,Retail,11-50 employees,South,Customer Support,2,3,Yes,5,No,195,We have submitted a list of critical feature requests. If unaddressed we will reconsider.,-0.3182,Negative
C0140,Churned,Basic,22,Retail,11-50 employees,South,Competitor Switch,1,2,No,4,No,61,We evaluated three alternatives and another platform won on both price and support quality.,0.7506,Positive
C0141,Retained,Basic,40,Education,51-200 employees,South,Pricing & Value,5,5,,4,Yes,68,We evaluated alternatives but the switching cost and migration risk outweighed the benefits.,0.1901,Positive
C0142,Retained,Enterprise,29,Education,11-50 employees,Northeast,Onboarding & Usability,5,4,,3,Yes,1041,Our account manager has been excellent and that relationship keeps us with RetainIQ.,0.5719,Positive
C0143,Churned,Basic,34,Technology,1-10 employees,West,Product Quality,1,2,No,6,Yes,54,The product does not integrate with our existing tools which makes it very difficult to use.,-0.4201,Negative
C0144,At-Risk,Basic,9,Finance,201+ employees,Midwest,Product Quality,2,3,Yes,4,No,90,We are on the fence. A proactive outreach from our account team would help retain us.,0.765,Positive
C0145,Churned,Pro,30,Retail,11-50 employees,Northeast,Pricing & Value,1,1,Yes,5,No,219,The annual contract pricing is not competitive. Monthly flexibility would help retain smaller teams.,0.0377,Neutral
C0146,At-Risk,Basic,19,Finance,51-200 employees,Midwest,Pricing & Value,2,3,Yes,4,No,53,Unless pricing improves at renewal we will likely not continue past this contract period.,0.4215,Positive
C0147,At-Risk,Pro,17,Technology,11-50 employees,South,Customer Support,4,3,Yes,4,No,283,Our team satisfaction with the platform has dropped significantly over the past quarter.,0.4404,Positive
C0148,Churned,Enterprise,31,Retail,11-50 employees,Northeast,Product Quality,2,3,No,3,No,542,We experienced significant data sync issues that impacted our daily operations.,0.2023,Positive
C0149,Retained,Basic,24,Technology,11-50 employees,South,Pricing & Value,3,4,,3,Yes,76,Support has improved recently and we are seeing more value from the Enterprise features.,0.8173,Positive
C0150,Retained,Pro,25,Technology,11-50 employees,South,Pricing & Value,3,5,,4,Yes,175,The onboarding was rough but once we were set up the product has been reliable.,0.0,Neutral
C0151,Churned,Pro,3,Healthcare,1-10 employees,South,Pricing & Value,1,3,No,7,No,277,The price increased 30% at renewal with no new features or improvements to justify it.,0.296,Positive
C0152,Retained,Enterprise,32,Education,11-50 employees,Midwest,Pricing & Value,3,3,,3,No,1143,We evaluated alternatives but the switching cost and migration risk outweighed the benefits.,0.1901,Positive
C0153,Churned,Pro,22,Technology,1-10 employees,South,Pricing & Value,1,1,No,5,No,178,Our budget was cut and the pricing tier options do not offer a meaningful downgrade path.,-0.47,Negative
C0154,Retained,Pro,23,Finance,11-50 employees,Northeast,Onboarding & Usability,4,5,,0,No,256,Our account manager has been excellent and that relationship keeps us with RetainIQ.,0.5719,Positive
C0155,Churned,Basic,4,Technology,1-10 employees,Midwest,Onboarding & Usability,1,2,Yes,4,No,52,The learning curve is too steep for our non-technical staff to adopt comfortably.,0.5423,Positive
C0156,Retained,Enterprise,44,Technology,1-10 employees,Midwest,Onboarding & Usability,3,5,,2,Yes,749,Our account manager has been excellent and that relationship keeps us with RetainIQ.,0.5719,Positive
C0157,Churned,Basic,6,Finance,11-50 employees,West,Onboarding & Usability,2,1,No,7,No,74,Setup took far longer than expected and we never received adequate implementation support.,0.2579,Positive
C0158,Retained,Basic,12,Finance,11-50 employees,Northeast,Pricing & Value,4,5,,0,Yes,67,Recent product updates have addressed several of our key concerns from last quarter.,0.0,Neutral
C0159,Churned,Pro,25,Retail,11-50 employees,West,Customer Support,1,2,Yes,7,No,156,We feel ignored. Critical issues sit open for weeks with no meaningful updates.,-0.6769,Negative
C0160,Churned,Basic,1,Technology,1-10 employees,West,Pricing & Value,3,3,Yes,6,No,96,Add-on fees for features we assumed were included made the total cost far higher than expected.,0.0,Neutral
C0161,Retained,Enterprise,6,Retail,201+ employees,Midwest,Product Quality,4,3,,3,Yes,1025,Support has improved recently and we are seeing more value from the Enterprise features.,0.8173,Positive
